timestamp,scenario,predicted_digit,confidence
2026-08-23 15:37:09,normal,1,0.9999
2026-08-23 15:37:11,normal,1,1.0
2026-08-23 15:37:13,normal,4,1.0
2026-08-23 15:37:15,normal,1,0.998
2026-08-23 15:37:17,normal,8,0.9958
2026-08-23 15:37:19,normal,7,1.0
2026-08-23 15:37:21,normal,3,1.0
2026-08-23 15:37:23,normal,1,1.0
2026-08-23 15:37:25,normal,2,1.0
2026-08-23 15:37:27,normal,4,1.0
2026-08-23 15:37:29,normal,6,1.0
2026-08-23 15:37:32,normal,9,0.9998
2026-08-23 15:37:34,normal,3,1.0
2026-08-23 15:37:36,normal,4,0.9999
2026-08-23 15:37:38,normal,2,1.0
2026-08-23 15:37:40,normal,7,1.0
2026-08-23 15:37:42,normal,1,1.0
2026-08-23 15:37:44,normal,8,1.0
2026-08-23 15:37:46,normal,2,1.0
2026-08-23 15:37:48,normal,2,1.0
2026-08-23 15:37:50,normal,4,1.0
2026-08-23 15:37:52,normal,6,1.0
2026-08-23 15:37:54,normal,6,0.9997
2026-08-23 15:37:56,normal,2,1.0
2026-08-23 15:37:58,normal,0,1.0
2026-08-23 15:38:00,normal,2,1.0
2026-08-23 15:38:02,normal,0,1.0
2026-08-23 15:38:04,normal,5,1.0
2026-08-23 15:38:06,normal,6,1.0
2026-08-23 15:38:08,normal,2,1.0
2026-08-23 15:38:10,normal,1,1.0
2026-08-23 15:38:12,normal,8,0.9091
2026-08-23 15:38:14,normal,6,1.0
2026-08-23 15:38:16,normal,1,1.0
2026-08-23 15:38:19,normal,9,1.0
2026-08-23 15:38:21,normal,8,1.0
2026-08-23 15:38:23,normal,0,0.9959
2026-08-23 15:38:25,normal,8,0.9952
2026-08-23 15:38:27,normal,4,1.0
2026-08-23 15:38:29,normal,6,1.0
2026-08-23 15:38:31,normal,2,1.0
2026-08-23 15:38:33,normal,2,1.0
2026-08-23 15:38:35,normal,8,1.0
2026-08-23 15:38:37,normal,6,1.0
2026-08-23 15:38:39,normal,7,1.0
2026-08-23 15:38:41,normal,2,1.0
2026-08-23 15:38:43,normal,6,1.0
2026-08-23 15:38:45,normal,4,1.0
2026-08-23 15:38:47,normal,1,1.0
2026-08-23 15:38:49,normal,1,1.0
2026-08-23 15:38:51,normal,1,0.9989
2026-08-23 15:38:54,normal,4,1.0
2026-08-23 15:38:56,normal,7,1.0
2026-08-23 15:38:58,normal,2,1.0
2026-08-23 15:39:00,normal,9,0.9917
2026-08-23 15:39:02,normal,1,1.0
2026-08-23 15:39:04,normal,5,1.0
